id,First,Last,GradYear,City,Major,Company,ConnectionList
1,Grace,Rodriguez,1992,Miami,Computer Science,Uber Technologies,"[""21"",""100""]"
2,Grace,Turner,1998,Seattle,Biology,Pinterest Inc.,
3,Grace,Ruiz,1996,Quebec,Business,Samsung Electronics,
4,Grace,Allen,1994,Boston,Business,Intel Corporation,
5,Grace,Alvarez,1995,San Fransisco,Computer Science,Qualcomm Inc.,
6,Grace,James,1988,Boise,Chemistry,Baidu Inc.,
7,Grace,Long,2017,Miami,Civil Engineering,Shopify Inc.,
8,Grace,Torres,1981,Los Angles,Business,Oracle Corporation,
9,Grace,Rogers,2008,Quebec,Business,Pinterest Inc.,
10,Grace,Harris,2021,Toronto,Computer Science,Etsy Inc.,
11,Grace,Patel,2001,Seattle,Chemistry,Intel Corporation,
12,Grace,Mendoza,2019,Toronto,Criminal Justice,NVIDIA Corporation,
13,Grace,Diaz,2022,Huston,Business,Etsy Inc.,
14,Grace,Anderson,1998,San Fransisco,Biology,Robinhood Markets,
15,Grace,Bailey,2021,Quebec,Phyisics,Amazon.com Inc.,
16,Grace,Campbell,1996,Seattle,Chemistry,NVIDIA Corporation,
17,Grace,Martinez,1982,Tampa,Biology,Alibaba Group,
18,Grace,Jenkins,2014,Quebec,Civil Engineering,DocuSign Inc.,
19,Grace,Carter,1994,Seattle,Civil Engineering,Zoom Video Communications,
20,Grace,Hall,1986,Miami,Chemistry,Uber Technologies,
21,Grace,Price,1977,Los Angles,Chemistry,Atlassian Corporation,
22,Grace,Phillips,2024,New york,Phyisics,Airbnb Inc.,
23,Grace,Hill,2019,Miami,Computer Science,Pinterest Inc.,
24,Grace,Garcia,1999,Huston,Biology,Facebook Inc.,
25,Grace,Lewis,1988,Los Angles,Biology,SquareSpace,
26,Grace,Gray,2010,Tampa,Chemistry,Spotify Technology,
27,Grace,Ramos,1987,Tampa,Phyisics,Facebook Inc.,
28,Grace,Ross,1977,Austin,Business,Twilio Inc.,
29,Grace,Kelly,1989,Anchorage,Criminal Justice,Apple Inc.,
30,Grace,Wilson,2010,Los Angles,Mechanical engineering,Dropbox Inc.,
31,Grace,Moore,2000,New york,Chemistry,Yelp Inc.,
32,Grace,Rivera,1982,Huston,Biology,Intel Corporation,
33,Grace,Stewart,2021,Toronto,Biology,Palantir Technologies,
34,Grace,Walker,1984,Huston,Accounting,HP Inc.,
35,Grace,Evans,2021,dallas,Mechanical engineering,Coinbase Global,
36,Grace,Young,2003,dallas,Accounting,Spotify Technology,
37,Grace,Collins,1981,Seattle,Mechanical engineering,PayPal Holdings,
38,Grace,Taylor,1979,Tampa,Electrical Engineering,Intuit Inc.,
39,Grace,Clark,1982,Boston,Phyisics,Square Inc.,
40,Grace,Brown,2001,New york,Accounting,Netflix Inc.,
41,Grace,Cook,2017,New york,Civil Engineering,Zillow Group,
42,Grace,Davis,1987,Huston,Civil Engineering,Yelp Inc.,
43,Grace,Brooks,2008,Tampa,Electrical Engineering,Salesforce Inc.,
44,Grace,Reyes,1978,Anchorage,Electrical Engineering,Intuit Inc.,
45,Grace,Myers,2002,Anchorage,Chemistry,HP Inc.,
46,Grace,Scott,1983,Anchorage,Mechanical engineering,Slack Technologies,
47,Grace,Murphy,2017,Toronto,Computer Science,Zillow Group,
48,Grace,Foster,2019,Anchorage,Business,eBay Inc.,
49,Grace,Adams,2024,Anchorage,Mechanical engineering,Yelp Inc.,
50,Grace,Williams,1986,Austin,Phyisics,IBM Corporation,
51,Grace,Thomas,1990,Los Angles,Mechanical engineering,SquareSpace,
52,Grace,Gutierrez,1986,Anchorage,Civil Engineering,Apple Inc.,
53,Grace,Edwards,2004,Miami,Computer Science,Samsung Electronics,
54,Grace,Jackson,1990,Huston,Biology,Oracle Corporation,
55,Grace,Jones,2024,Los Angles,Criminal Justice,Spotify Technology,
56,Grace,Ward,1993,dallas,Computer Science,Etsy Inc.,
57,Grace,Thompson,2007,Toronto,Chemistry,TikTok Inc.,
58,Grace,Bennett,2011,Los Angles,Phyisics,Facebook Inc.,
59,Grace,Lee,2013,dallas,Civil Engineering,Yelp Inc.,
60,Grace,Flores,2000,Tampa,Phyisics,TikTok Inc.,
61,Grace,Baker,1986,Tampa,Computer Science,Alphabet Inc.,
62,Grace,King,2007,New york,Civil Engineering,Dell Technologies,
63,Grace,Cox,1987,San Fransisco,Phyisics,Wayfair Inc.,
64,Grace,Richardson,2022,Miami,Electrical Engineering,Atlassian Corporation,
65,Grace,Gomez,2012,San Fransisco,Criminal Justice,Coinbase Global,
66,Grace,White,1977,Los Angles,Computer Science,Twilio Inc.,
67,Grace,Lopez,2022,Quebec,Business,eBay Inc.,
68,Grace,Gonzalez,2018,Tampa,Civil Engineering,Dell Technologies,
69,Grace,Miller,1986,New york,Phyisics,SquareSpace,
70,Grace,Kim,1986,Seattle,Civil Engineering,Cisco Systems,
71,Grace,Mitchell,1999,Boise,Phyisics,Netflix Inc.,
72,Grace,Hernandez,2000,New york,Mechanical engineering,DocuSign Inc.,
73,Grace,Robinson,1987,San Fransisco,Biology,eBay Inc.,
74,Grace,Wright,2017,Anchorage,Computer Science,Pinterest Inc.,
75,Grace,Johnson,1989,Los Angles,Business,eBay Inc.,
76,Grace,Ortiz,1978,Quebec,Business,NVIDIA Corporation,
77,Grace,Green,2017,Los Angles,Civil Engineering,Amazon.com Inc.,
78,Grace,Reed,2001,Los Angles,Phyisics,Alphabet Inc.,
79,Grace,Parker,2011,Seattle,Phyisics,Wayfair Inc.,
80,Grace,Watson,2018,Seattle,Civil Engineering,Alibaba Group,
81,Grace,Perez,1990,Anchorage,Electrical Engineering,TikTok Inc.,
82,Grace,Howard,2007,dallas,Criminal Justice,DocuSign Inc.,
83,Grace,Castillo,1977,Quebec,Computer Science,Alphabet Inc.,
84,Grace,Perry,1988,dallas,Computer Science,Square Inc.,
85,Grace,Wood,2008,Toronto,Business,Yelp Inc.,
86,Grace,Roberts,1987,Anchorage,Chemistry,Apple Inc.,
87,Grace,Peterson,2010,Boston,Chemistry,Etsy Inc.,
88,Grace,Sanders,2014,Huston,Computer Science,Uber Technologies,
89,Grace,Morales,1978,Boston,Biology,IBM Corporation,
90,Grace,Cooper,1997,Toronto,Civil Engineering,Atlassian Corporation,
91,Grace,Jimenez,1984,Boise,Accounting,Apple Inc.,
92,Grace,Chavez,1995,Quebec,Criminal Justice,Coinbase Global,
93,Grace,Nguyen,2014,Anchorage,Civil Engineering,Coinbase Global,
94,Grace,Ramirez,2010,Anchorage,Civil Engineering,Palantir Technologies,
95,Grace,Morgan,2007,Los Angles,Mechanical engineering,Vimeo Inc.,
96,Grace,Morris,2022,Toronto,Biology,Baidu Inc.,
97,Grace,Cruz,1993,Tampa,Chemistry,Robinhood Markets,
98,Grace,Hughes,2023,Miami,Civil Engineering,Qualcomm Inc.,
99,Grace,Martin,2014,New york,Computer Science,eBay Inc.,
100,Grace,Nelson,2015,Seattle,Biology,Sony Corporation,
101,Maya,Rodriguez,1987,Miami,Phyisics,IBM Corporation,
102,Maya,Turner,2004,Quebec,Mechanical engineering,DocuSign Inc.,
103,Maya,Ruiz,2012,Toronto,Computer Science,PayPal Holdings,
104,Maya,Allen,2016,Toronto,Accounting,Palantir Technologies,
105,Maya,Alvarez,2020,New york,Business,Alibaba Group,
106,Maya,James,2013,Los Angles,Chemistry,Tesla Inc.,
107,Maya,Long,2022,Huston,Civil Engineering,Dropbox Inc.,
108,Maya,Torres,2003,Miami,Civil Engineering,Lyft Inc.,
109,Maya,Rogers,2014,Los Angles,Civil Engineering,Lyft Inc.,
